;timestamp;Signalname;interpreted_value;sequence_id
0;8044222975500.0;S-A;a;0
1;8044233007800.0;S-B;b;0
2;8044423066800.0;S-A;c;0
3;8514571025500.0;S-B;d;0
4;8672751863400.0;S-C;e;0
5;8680543135800.0;S-C;f;0
6;11919274072100.0;S-A;a;1
7;11919283756800.0;S-B;b;1
8;11919473916300.0;S-A;c;1
9;12549801698100.0;S-C;f;1
10;12549801698100.0;S-D;b;1
11;12549838090000.0;S-E;b;1
12;12549838090000.0;S-E;b;2
13;11919283756800.0;S-B;b;2
14;12562251702200.0;S-C;e;2
15;12562251702200.0;S-D;d;2
16;12562319027400.0;S-E;d;2
17;13272325030800.0;S-B;d;3
18;58781126597500.0;S-C;e;3
19;58788946614000.0;S-C;f;3
20;58793379220200.0;S-C;e;3
21;12562319027400.0;S-E;d;4
22;59153245765900.0;S-B;b;4
23;59153326308700.0;S-A;a;4
24;59153425582300.0;S-A;c;4
25;59418430201300.0;S-C;f;4
26;59639731575800.0;S-D;b;4
27;59639772591100.0;S-E;b;4
28;59639772591100.0;S-E;b;5
29;59153245765900.0;S-B;b;5
30;59647070083400.0;S-C;e;5
31;59647070083400.0;S-D;d;5
32;59647132655000.0;S-E;d;5
33;59153245765900.0;S-B;b;6
34;59647132655000.0;S-E;d;6
35;59766620133600.0;S-C;f;6
36;59766620133600.0;S-D;b;6
37;59766654307800.0;S-E;b;6
38;59153245765900.0;S-B;b;7
39;59766654307800.0;S-E;b;7
40;59773960517800.0;S-C;e;7
41;59773960517800.0;S-D;d;7
42;59774014078900.0;S-E;d;7
43;59153245765900.0;S-B;b;8
44;59774014078900.0;S-E;d;8
45;59792649715700.0;S-C;f;8
46;59792649715700.0;S-D;b;8
47;59792694961700.0;S-E;b;8
48;59153245765900.0;S-B;b;9
49;59792694961700.0;S-E;b;9
50;59798870264400.0;S-C;e;9
51;59798870264400.0;S-D;d;9
52;59798934216200.0;S-E;d;9
53;59153245765900.0;S-B;b;10
54;59798934216200.0;S-E;d;10
55;59808100847600.0;S-C;f;10
56;59808100847600.0;S-D;b;10
57;59808134428200.0;S-E;b;10
58;59153245765900.0;S-B;b;11
59;59808134428200.0;S-E;b;11
60;59809659986700.0;S-C;e;11
61;59809659986700.0;S-D;d;11
62;59809695726700.0;S-E;d;11
63;59153245765900.0;S-B;b;12
64;59809695726700.0;S-E;d;12
65;59884394671400.0;S-C;f;12
66;59884394671400.0;S-D;b;12
67;59884455358600.0;S-E;b;12
68;59153245765900.0;S-B;b;13
69;59884455358600.0;S-E;b;13
70;59891509881800.0;S-C;e;13
71;59891509881800.0;S-D;d;13
72;59891576015700.0;S-E;d;13
73;59153245765900.0;S-B;b;14
74;59891576015700.0;S-E;d;14
75;59899959899200.0;S-C;f;14
76;59899959899200.0;S-D;b;14
77;59900016095000.0;S-E;b;14
78;59153245765900.0;S-B;b;15
79;59900016095000.0;S-E;b;15
80;59964130336200.0;S-C;e;15
81;59964130336200.0;S-D;d;15
82;59964177113400.0;S-E;d;15
83;59153245765900.0;S-B;b;16
84;59964177113400.0;S-E;d;16
85;59970909448800.0;S-C;f;16
86;59970909448800.0;S-D;b;16
87;59970936722300.0;S-E;b;16
88;59153245765900.0;S-B;b;17
89;59970936722300.0;S-E;b;17
90;59972600480100.0;S-C;e;17
91;59972600480100.0;S-D;d;17
92;59972656945300.0;S-E;d;17
93;59153245765900.0;S-B;b;18
94;59972656945300.0;S-E;d;18
95;59983929376500.0;S-C;e;18
96;59987712620800.0;S-D;b;18
97;59987776955000.0;S-E;b;18
98;59153245765900.0;S-B;b;19
99;59987776955000.0;S-E;b;19
100;59995269263800.0;S-C;e;19
101;59995269263800.0;S-D;d;19
102;59995298057300.0;S-E;d;19
103;59995298057300.0;S-E;d;20
104;59153245765900.0;S-B;b;20
105;59998379641300.0;S-C;e;20
106;59153245765900.0;S-B;b;21
107;59995298057300.0;S-E;d;21
108;60012610033500.0;S-C;f;21
109;60013399570000.0;S-D;b;21
110;60013457455500.0;S-E;b;21
111;59153245765900.0;S-B;b;22
112;60013457455500.0;S-E;b;22
113;60032756070700.0;S-C;e;22
114;60032756070700.0;S-D;d;22
115;60032817713000.0;S-E;d;22
116;59153245765900.0;S-B;b;22
117;60032817713000.0;S-E;d;23
118;60042546033400.0;S-C;f;23
119;60042546033400.0;S-D;b;23
120;60042577737100.0;S-E;b;23
121;59153245765900.0;S-B;b;24
122;60042577737100.0;S-E;b;24
123;60076795008200.0;S-C;e;24
124;60076795008200.0;S-D;d;24
125;60076857975200.0;S-E;d;24
126;59153245765900.0;S-B;b;25
