;timestamp;Signalname;interpreted_value
0;3023599948700.0;S-A;a
1;8037862929200.0;S-A;a
2;8038163119400.0;S-A;a
3;8038463338200.0;S-A;a
4;8038963163400.0;S-A;a
5;8039422986200.0;S-A;a
6;8039722927100.0;S-A;a
7;8040203010800.0;S-A;a
8;8040502951800.0;S-A;a
9;8040963371800.0;S-A;a
10;8041263234000.0;S-A;a
11;8041463074900.0;S-A;a
12;8041662932200.0;S-A;a
13;8041763064300.0;S-A;a
14;8042062911800.0;S-A;a
15;8042363221000.0;S-A;a
16;8042562863100.0;S-A;a
17;8042862764200.0;S-A;a
18;8043062932100.0;S-A;a
19;8043262947900.0;S-A;a
20;8043563207600.0;S-A;a
21;8043763014100.0;S-A;a
22;8043862983400.0;S-A;a
23;8065102868000.0;S-A;a
24;8065403118500.0;S-A;a
25;8065762954200.0;S-A;a
26;8066062837800.0;S-A;a
27;8069603064200.0;S-A;a
28;8069903119800.0;S-A;a
29;8072423065800.0;S-A;a
30;8072723254000.0;S-A;a
31;8075003046900.0;S-A;a
32;8075302994300.0;S-A;a
33;8078063322200.0;S-A;a
34;8078364092900.0;S-A;a
35;8080583105000.0;S-A;a
36;8080883243600.0;S-A;a
37;8082683329800.0;S-A;a
38;8083283293100.0;S-A;a
39;8084243797400.0;S-A;a
40;8084443731400.0;S-A;a
41;8085523541900.0;S-A;a
42;8085823278600.0;S-A;a
43;8086403162200.0;S-A;a
44;8086703107800.0;S-A;a
45;8087003180500.0;S-A;a
46;8087303141900.0;S-A;a
47;8087503240300.0;S-A;a
48;8087603230600.0;S-A;a
49;8087803148700.0;S-A;a
50;8088103322600.0;S-A;a
51;8088203167800.0;S-A;a
52;8088403415900.0;S-A;a
53;8088502961400.0;S-A;a
54;8088702930700.0;S-A;a
55;8088802902600.0;S-A;a
56;8089002966400.0;S-A;a
57;8108183738600.0;S-A;c
58;8108383652800.0;S-A;d
59;8119484054500.0;S-A;a
60;8203104179900.0;S-A;e
61;8203204649800.0;S-A;f
62;8215404429800.0;S-A;a
63;8234484525000.0;S-A;c
64;8234684795900.0;S-A;a
65;8266046038500.0;S-A;c
66;8266146238200.0;S-A;d
67;8289846497100.0;S-A;a
68;8323115634600.0;S-A;e
69;8323315638700.0;S-A;f
70;8360317725700.0;S-A;f
71;8360517451000.0;S-A;f
72;8361816175000.0;S-A;f
73;8362616184200.0;S-A;f
74;8363016195600.0;S-A;f
75;8363216236000.0;S-A;f
76;8364216242000.0;S-A;f
77;8364416253300.0;S-A;f
78;8364516234300.0;S-A;f
